region,interval_datetime,price,demand,generation,interchange
QLD1,2026-09-19T00:00:00+00:00,94.50,7150.00,7025.00,125.00
NSW1,2026-09-19T00:00:00+00:00,88.10,8120.00,8460.00,-340.00
VIC1,2026-09-19T00:00:00+00:00,76.25,5480.00,5325.00,155.00
SA1,2026-09-19T00:00:00+00:00,82.30,1680.00,1795.00,-115.00
TAS1,2026-09-19T00:00:00+00:00,71.80,1180.00,1245.00,-65.00
QLD1,2026-09-19T00:05:00+00:00,16500.00,7210.00,7080.00,130.00
NSW1,2026-09-19T00:05:00+00:00,102.40,9450.00,8790.00,660.00
VIC1,2026-09-19T00:05:00+00:00,84.65,5525.00,5370.00,155.00
SA1,2026-09-19T00:05:00+00:00,91.15,1715.00,1820.00,-105.00
TAS1,2026-09-19T00:05:00+00:00,75.35,1195.00,1260.00,-65.00
QLD1,2026-09-19T00:10:00+00:00,124.75,7245.00,7110.00,135.00
NSW1,2026-09-19T00:10:00+00:00,98.20,8300.00,8610.00,-310.00
VIC1,2026-09-19T00:10:00+00:00,89.30,5570.00,5420.00,150.00
SA1,2026-09-19T00:10:00+00:00,96.40,1730.00,1835.00,-105.00
TAS1,2026-09-19T00:10:00+00:00,77.10,1205.00,1270.00,-65.00
QLD1,not-a-time,100.00,7100.00,7000.00,100.00
BAD1,2026-09-19T00:15:00+00:00,100.00,7100.00,7000.00,100.00
VIC1,2026-09-19T00:15:00+00:00,not-a-price,5500.00,5400.00,100.00
SA1,2026-09-19T00:15:00+00:00,100.00,,1700.00,100.00
